2026-09-18T10:38:11Z INFO Logging to /tmp/logs/update_2026-09-18T10-38-11Z.log.
2026-09-18T10:38:11Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T10:38:11Z INFO Processing 500 items (48787 already recorded).
2026-09-18T10:46:30Z INFO [104/500] 04265dcb-29a9-4fa1-9e36-4e9a287b8485: Sackin index -0.0702; 0.8 s; peak memory 540 MiB.
2026-09-18T10:46:34Z INFO [105/500] 0427235e-4d6c-47a8-afef-9d0d346c98ce: Sackin index -0.0251; 4.0 s; peak memory 540 MiB.
2026-09-18T10:46:35Z INFO [106/500] 04275c42-fe20-4386-890b-83dbff83c7c2: Sackin index -0.0369; 1.0 s; peak memory 540 MiB.
2026-09-18T10:46:36Z INFO [107/500] 04276e26-d319-4617-9903-cca2b9905139: Sackin index -0.0709; 0.9 s; peak memory 540 MiB.
2026-09-18T10:46:36Z INFO [108/500] 04278874-422c-483d-9392-127c2ee496c3: Sackin index -0.1658; 0.6 s; peak memory 540 MiB.
2026-09-18T10:46:37Z INFO [109/500] 0427ed6c-87d7-42e8-afc4-12820cdc8e8a: Sackin index -0.0380; 0.9 s; peak memory 540 MiB.
2026-09-18T10:46:38Z INFO [110/500] 0429aeea-003b-40a8-8a2f-2f603c435b10: Sackin index -0.1658; 0.5 s; peak memory 540 MiB.
2026-09-18T10:46:38Z INFO [111/500] 0429ebfc-e30f-4613-b1e1-6416f70af8d5: Sackin index -0.1349; 0.5 s; peak memory 540 MiB.
2026-09-18T10:46:46Z INFO [112/500] 042b3f37-703e-46d2-9a71-2d488bcea629: Sackin index -0.0212; 7.7 s; peak memory 540 MiB.
2026-09-18T10:46:49Z INFO [113/500] 042b853f-71b8-4449-b6c6-79c770b47370: Sackin index -0.0245; 3.1 s; peak memory 540 MiB.
2026-09-18T10:46:52Z INFO [114/500] 042c4ad3-85ef-478b-b5db-cdc9205a7a8e: Sackin index -0.0403; 3.1 s; peak memory 540 MiB.
2026-09-18T10:46:53Z INFO [115/500] 042d1710-2868-4b54-bfc8-7defcb15bce1: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:46:54Z INFO [116/500] 042d8f6a-8f31-488d-810d-a3c806692156: Sackin index -0.0379; 1.0 s; peak memory 540 MiB.
2026-09-18T10:46:55Z INFO [117/500] 042e301a-df8a-42a9-ae01-01c45297489c: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:46:56Z INFO [118/500] 042f0490-5aba-4fca-b8ea-2041b4038486: Sackin index -0.0732; 1.0 s; peak memory 540 MiB.
2026-09-18T10:48:23Z INFO [119/500] 04311581-bb01-486b-8bfa-771be095b10d: Sackin index -0.0632; 87.0 s; peak memory 540 MiB.
2026-09-18T10:48:23Z INFO [120/500] 04314204-d243-403d-85c6-723e61111b34: Sackin index -0.1288; 0.7 s; peak memory 540 MiB.
2026-09-18T10:48:24Z INFO [121/500] 04316c7f-1810-44fc-a2b6-8804d2626ac7: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:48:24Z INFO [122/500] 0431a7c8-2cec-484d-b1f9-774705628302: Sackin index -0.1349; 0.6 s; peak memory 540 MiB.
2026-09-18T10:48:25Z INFO [123/500] 04321f1e-24ac-4a84-b055-35ce5b382333: Sackin index -0.0745; 0.9 s; peak memory 540 MiB.
2026-09-18T10:48:26Z INFO [124/500] 0432b00c-aa85-46e9-b6db-53f99df85a4d: Sackin index -0.1349; 0.7 s; peak memory 540 MiB.
2026-09-18T10:48:27Z INFO [125/500] 0432c751-9448-43fd-bf53-3bc8433a9f61: Sackin index -0.0748; 0.9 s; peak memory 540 MiB.
2026-09-18T10:48:28Z INFO [126/500] 0432d1bf-ed16-4565-b03a-47260eaf55f4: Sackin index -0.1349; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:28Z INFO [127/500] 04337b68-1ca4-40cd-b077-934c4c462a21: Sackin index -0.1254; 0.8 s; peak memory 540 MiB.
2026-09-18T10:48:32Z INFO [128/500] 0433f308-5919-481b-bba8-09a1d37f30c9: Sackin index -0.0236; 3.9 s; peak memory 540 MiB.
2026-09-18T10:48:33Z INFO [129/500] 04348d8f-5573-4e24-82f0-4fee12a1e7a4: Sackin index -0.1349; 0.8 s; peak memory 540 MiB.
