2026-09-19T18:26:23Z INFO Logging to /tmp/logs/update_2026-09-19T18-26-23Z.log.
2026-09-19T18:26:23Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-19T18:26:23Z INFO Processing 350 items (50643 already recorded).
2026-09-19T18:41:16Z INFO [78/350] 0801ce9e-82aa-4d0d-be44-22680fe8ca7b: Sackin index -0.1349; 1.4 s; peak memory 1076 MiB.
2026-09-19T18:54:01Z INFO [79/350] 0801d996-200e-4173-ab49-d1784427e96a: Sackin index -0.1064; 764.2 s; peak memory 1203 MiB.
2026-09-19T18:54:03Z INFO [80/350] 0803134f-aacb-483c-9724-e1fe7995299f: Sackin index -0.0369; 2.4 s; peak memory 1203 MiB.
2026-09-19T18:54:05Z INFO [81/350] 080342d4-babe-474d-99c6-ccfd841f5d6f: Sackin index -0.0702; 1.7 s; peak memory 1203 MiB.
2026-09-19T18:54:21Z INFO [82/350] 0803f0db-3d31-4b2f-aece-71803269eae5: Sackin index -0.0150; 16.0 s; peak memory 1203 MiB.
2026-09-19T18:54:22Z INFO [83/350] 0804f126-530b-411d-aa4a-0dddfeaca02c: Sackin index -0.0702; 1.5 s; peak memory 1203 MiB.
2026-09-19T18:54:25Z INFO [84/350] 08051056-e302-4ef2-a443-655a4477e14d: Sackin index -0.0661; 3.0 s; peak memory 1203 MiB.
2026-09-19T18:54:27Z INFO [85/350] 080529a9-19ac-43b6-bbe3-f8366272b6f4: Sackin index -0.0702; 1.8 s; peak memory 1203 MiB.
2026-09-19T18:54:29Z INFO [86/350] 0805672a-40dd-4c53-b52d-c86ea274ad5a: Sackin index -0.0745; 1.9 s; peak memory 1203 MiB.
2026-09-19T18:54:31Z INFO [87/350] 0805c11d-f43e-43b3-8691-062ab10d868b: Sackin index -0.0369; 1.9 s; peak memory 1203 MiB.
2026-09-19T18:54:33Z INFO [88/350] 0805d91f-7ead-4ecc-9341-d6d0dc39c2fe: Sackin index -0.1602; 1.8 s; peak memory 1203 MiB.
2026-09-19T18:54:35Z INFO [89/350] 08061bde-a899-40bf-94e7-2801e159a324: Sackin index -0.0728; 1.9 s; peak memory 1203 MiB.
2026-09-19T18:54:36Z INFO [90/350] 080677c9-0e9e-4085-afd6-e5e0379510b9: Sackin index -0.1578; 1.1 s; peak memory 1203 MiB.
2026-09-19T18:54:56Z INFO [91/350] 0806e88b-a662-48d2-99c0-198ba61b2d09: Sackin index -0.0150; 20.1 s; peak memory 1203 MiB.
