2026-09-21T12:05:01Z INFO Logging to /tmp/logs/update_2026-09-21T12-05-01Z.log.
2026-09-21T12:05:01Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T12:05:01Z INFO Processing 367 items (52499 already recorded).
2026-09-21T12:08:39Z INFO [77/367] 0bea007c-0c61-4de2-b33b-5e2d3a13923b: Sackin index -0.0017; 7.2 s; peak memory 236 MiB.
2026-09-21T12:08:40Z INFO [78/367] 0beabc9c-0c5c-4890-a145-ab85be33897f: Sackin index -0.0728; 1.5 s; peak memory 236 MiB.
2026-09-21T12:08:53Z INFO [79/367] 0beb5b14-3df6-4ec4-837b-9ccaded562c7: Sackin index -0.1462; 13.1 s; peak memory 247 MiB.
2026-09-21T12:08:55Z INFO [80/367] 0bebd8db-4ad3-4d35-b60a-b85931f34f15: Sackin index -0.0369; 1.7 s; peak memory 247 MiB.
2026-09-21T12:08:56Z INFO [81/367] 0beca01a-54bd-4714-9b64-f4fcd92c9dcc: Sackin index -0.1349; 0.8 s; peak memory 247 MiB.
2026-09-21T12:08:57Z INFO [82/367] 0bed09d6-f58a-4715-9f5b-d87f3f43b501: Sackin index -0.1349; 0.9 s; peak memory 247 MiB.
2026-09-21T12:08:58Z INFO [83/367] 0bee4f44-a071-44b7-a6a9-0c562f8d92c7: Sackin index -0.0728; 1.2 s; peak memory 247 MiB.
2026-09-21T12:08:59Z INFO [84/367] 0bee5ab4-db69-4f92-a5f5-dd7a20ed91df: Sackin index -0.0369; 1.3 s; peak memory 247 MiB.
2026-09-21T12:09:04Z INFO [85/367] 0bee8a84-5d66-4337-a23e-9bb555b415cd: Sackin index -0.0403; 4.4 s; peak memory 247 MiB.
2026-09-21T12:09:05Z INFO [86/367] 0beea927-1d05-4951-b370-5d0df14cbcba: Sackin index -0.0369; 1.3 s; peak memory 247 MiB.
2026-09-21T12:09:06Z INFO [87/367] 0bef848c-7a1d-423f-8f66-dae0a33c8b0a: Sackin index -0.1349; 0.8 s; peak memory 247 MiB.
2026-09-21T12:09:26Z INFO [88/367] 0bf03275-5079-4594-bee4-4858fc3bf2d2: Sackin index -0.1367; 19.7 s; peak memory 247 MiB.
2026-09-21T12:09:27Z INFO [89/367] 0bf03b84-2593-439e-9ea9-965d3762846d: Sackin index -0.1349; 1.1 s; peak memory 247 MiB.
2026-09-21T12:09:28Z INFO [90/367] 0bf0a692-94b5-4149-8eeb-8344431d8c0d: Sackin index -0.0728; 1.2 s; peak memory 247 MiB.
2026-09-21T12:09:29Z INFO [91/367] 0bf1bcb2-c64a-45d3-b40b-ad4fa6b79f58: Sackin index -0.1658; 0.8 s; peak memory 247 MiB.
2026-09-21T12:09:30Z INFO [92/367] 0bf202ee-0bf6-43e4-b3fe-d14c83898694: Sackin index -0.0709; 1.1 s; peak memory 247 MiB.
2026-09-21T12:09:35Z INFO [93/367] 0bf20ba6-3809-417e-a3af-a8b7156fe10d: Sackin index -0.0438; 5.2 s; peak memory 247 MiB.
2026-09-21T12:09:36Z INFO [94/367] 0bf22d77-708e-4291-aa74-4e75379cd50e: Sackin index -0.1349; 1.0 s; peak memory 247 MiB.
2026-09-21T12:09:44Z INFO [95/367] 0bf23b1a-82bd-43f9-ae05-b7599ff7fd26: Sackin index -0.0219; 7.6 s; peak memory 247 MiB.
2026-09-21T12:09:45Z INFO [96/367] 0bf26de9-8ca8-4331-982a-e27a709aca9a: Sackin index -0.0722; 0.9 s; peak memory 247 MiB.
2026-09-21T12:09:46Z INFO [97/367] 0bf353bf-6c3f-47d7-b438-a21cab303c12: Sackin index -0.1349; 0.9 s; peak memory 247 MiB.
2026-09-21T12:09:47Z INFO [98/367] 0bf47f3a-2b67-44c7-a298-51c260d9ae47: Sackin index -0.0702; 1.1 s; peak memory 247 MiB.
2026-09-21T12:09:52Z INFO [99/367] 0bf49b27-f4e6-4008-9d37-fb48dfd4ebc0: Sackin index -0.0195; 5.5 s; peak memory 247 MiB.
2026-09-21T12:09:53Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: Sackin index -0.1349; 1.0 s; peak memory 247 MiB.
2026-09-21T12:09:53Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: checkpointed 52599 records.
2026-09-21T12:09:55Z INFO [101/367] 0bf6026d-f890-474c-8ee7-6ab80e95bb00: Sackin index -0.0272; 1.8 s; peak memory 247 MiB.
2026-09-21T12:09:57Z INFO [102/367] 0bf71dd5-b42d-4773-a39e-45c764aa08f6: Sackin index -0.1187; 1.7 s; peak memory 247 MiB.
2026-09-21T12:10:02Z INFO [103/367] 0bf7bf21-e55f-4072-a589-0554640d196b: Sackin index -0.0413; 5.8 s; peak memory 247 MiB.
2026-09-21T12:10:09Z INFO [104/367] 0bf88989-2452-4f92-9471-25b7c30f5844: Sackin index -0.0232; 6.2 s; peak memory 247 MiB.
2026-09-21T12:10:10Z INFO [105/367] 0bf8be3f-b74b-4b3b-8111-1f6385598eba: Sackin index -0.0738; 1.6 s; peak memory 247 MiB.
2026-09-21T12:10:11Z INFO [106/367] 0bf950da-e9b8-4185-ae2b-1a153db299ea: Sackin index -0.1349; 0.9 s; peak memory 247 MiB.
2026-09-21T12:10:12Z INFO [107/367] 0bf97fe4-9258-4985-8974-117918874f90: Sackin index -0.0382; 1.2 s; peak memory 247 MiB.
2026-09-21T12:10:13Z INFO [108/367] 0bfaf92c-a454-4a4d-a112-a6b22ec7321a: Sackin index -0.0728; 1.1 s; peak memory 247 MiB.
2026-09-21T12:10:14Z INFO [109/367] 0bfb384e-9d4d-40db-bffb-b3dbb69bd189: Sackin index -0.0702; 0.9 s; peak memory 247 MiB.
2026-09-21T12:10:18Z INFO [110/367] 0bfbd075-9b6f-455d-94c1-4de5324913fd: Sackin index -0.0403; 3.9 s; peak memory 247 MiB.
2026-09-21T12:10:20Z INFO [111/367] 0bfc1b50-42be-403e-ba76-73eb2a9d6439: Sackin index -0.1938; 1.8 s; peak memory 247 MiB.
2026-09-21T12:10:21Z INFO [112/367] 0bfc3322-7d9e-453b-8d53-e54c0c5d6eb9: Sackin index -0.1349; 1.0 s; peak memory 247 MiB.
2026-09-21T12:10:22Z INFO [113/367] 0bfcac95-a1f8-433d-b727-ff1f636939b9: Sackin index -0.0728; 1.4 s; peak memory 247 MiB.
2026-09-21T12:10:44Z INFO [114/367] 0bfcc967-d709-4ea1-b982-0c61ae7a58f2: Sackin index -0.0090; 21.7 s; peak memory 290 MiB.
2026-09-21T12:10:45Z INFO [115/367] 0bfd45a4-99c1-4941-90d7-4e9bf3d8f42b: Sackin index -0.1349; 0.9 s; peak memory 290 MiB.
2026-09-21T12:10:46Z INFO [116/367] 0bfd6a65-129a-4865-9af6-dc2fdd45a2c2: Sackin index -0.0376; 1.3 s; peak memory 290 MiB.
2026-09-21T12:10:47Z INFO [117/367] 0bfd9050-c49d-42a3-9067-d8b6c3aa7e4c: Sackin index -0.1273; 1.1 s; peak memory 290 MiB.
2026-09-21T12:10:50Z INFO [118/367] 0bfd9ae1-7e17-4221-848a-4f6d558494bb: Sackin index -0.0869; 2.5 s; peak memory 290 MiB.
2026-09-21T12:10:51Z INFO [119/367] 0bfe049c-bb8b-4007-83c0-bf6d8df01702: Sackin index -0.0709; 1.1 s; peak memory 290 MiB.
2026-09-21T12:10:52Z INFO [120/367] 0bfe656d-5275-451c-a1c5-15b57e4e922e: Sackin index -0.1319; 0.7 s; peak memory 290 MiB.
2026-09-21T12:10:53Z INFO [121/367] 0bfe9c7a-a991-41f3-a5cd-85737a14ae52: Sackin index -0.1349; 1.0 s; peak memory 290 MiB.
2026-09-21T12:10:54Z INFO [122/367] 0bfef0d4-8219-4432-a3dc-44cac6fbce48: Sackin index -0.0696; 0.9 s; peak memory 290 MiB.
