2026-09-20T22:12:59Z INFO Logging to /tmp/logs/update_2026-09-20T22-12-59Z.log.
2026-09-20T22:12:59Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T22:12:59Z INFO Processing 369 items (52130 already recorded).
2026-09-20T22:16:22Z INFO [74/369] 0b22a1f3-d4cc-4e1a-ae28-9f2a54233e84: Sackin index -0.1284; 6.3 s; peak memory 163 MiB.
2026-09-20T22:16:22Z INFO [75/369] 0b240139-7927-4c15-9841-602f3634a00a: Sackin index -0.0382; 1.0 s; peak memory 163 MiB.
2026-09-20T22:16:23Z INFO [76/369] 0b2574bf-156c-4870-b981-86d84ebe7262: Sackin index -0.0709; 0.8 s; peak memory 163 MiB.
2026-09-20T22:16:25Z INFO [77/369] 0b26edd8-7f95-4ec6-ad75-f09e34ebb64e: Sackin index -0.0676; 1.5 s; peak memory 163 MiB.
2026-09-20T22:52:36Z INFO [78/369] 0b2719b6-bdcd-4f90-b8b4-d6d5e30da392: Sackin index -0.0081; 2171.6 s; peak memory 1122 MiB.
2026-09-20T22:52:37Z INFO [79/369] 0b279b5c-3981-460b-98e2-c024ee1b2586: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-20T22:52:40Z INFO [80/369] 0b27de9b-c376-4285-9717-7ad213eae955: Sackin index -0.1938; 3.2 s; peak memory 1122 MiB.
2026-09-20T22:52:42Z INFO [81/369] 0b2899b5-d78f-48f3-a59a-d3fdf691f966: Sackin index -0.1273; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:52:43Z INFO [82/369] 0b2925d2-3d1e-473d-894b-f0eeb84dd8b0: Sackin index -0.1174; 0.9 s; peak memory 1122 MiB.
2026-09-20T22:52:44Z INFO [83/369] 0b2a9b1b-5c69-49b0-9f8b-3e14857f0944: Sackin index -0.1349; 1.0 s; peak memory 1122 MiB.
2026-09-20T22:52:53Z INFO [84/369] 0b2b0855-5c0c-429b-a196-902d5b101722: Sackin index -0.0208; 9.8 s; peak memory 1122 MiB.
2026-09-20T22:52:59Z INFO [85/369] 0b2c62de-4220-4af7-8507-d724a4389560: Sackin index -0.0413; 5.4 s; peak memory 1122 MiB.
2026-09-20T22:53:00Z INFO [86/369] 0b2dd134-8cc5-4dc9-af5a-ff04b8fe32a8: Sackin index -0.1938; 0.7 s; peak memory 1122 MiB.
2026-09-20T22:53:00Z INFO [87/369] 0b2e2421-5df3-49f3-ad03-350004f315d5: Sackin index -0.1349; 0.8 s; peak memory 1122 MiB.
2026-09-20T22:53:07Z INFO [88/369] 0b2f37af-7433-4c45-9c1a-e3e8c356183e: Sackin index -0.0362; 6.3 s; peak memory 1122 MiB.
2026-09-20T22:53:08Z INFO [89/369] 0b2ff777-693a-4bb2-bd0f-7c9f7705debf: Sackin index -0.0272; 1.4 s; peak memory 1122 MiB.
2026-09-20T22:53:09Z INFO [90/369] 0b2ffa75-c9a1-4bcc-a36c-675ed84cf1f7: Sackin index -0.0434; 1.1 s; peak memory 1122 MiB.
2026-09-20T22:53:11Z INFO [91/369] 0b309d70-80bd-4c15-8822-ac18c5d3eca2: Sackin index -0.0659; 2.2 s; peak memory 1122 MiB.
2026-09-20T22:53:12Z INFO [92/369] 0b323e98-bacb-419b-b23a-a4677b0da91d: Sackin index -0.1938; 0.8 s; peak memory 1122 MiB.
2026-09-20T22:53:13Z INFO [93/369] 0b32a99b-65d8-4454-a49d-32e7243f158d: Sackin index -0.1349; 0.7 s; peak memory 1122 MiB.
2026-09-20T22:53:14Z INFO [94/369] 0b32e366-4d8c-4116-be6c-81e7208b3f36: Sackin index -0.0745; 1.4 s; peak memory 1122 MiB.
2026-09-20T22:53:15Z INFO [95/369] 0b332bc1-b791-45ec-9631-f7ca05530231: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-20T22:53:16Z INFO [96/369] 0b33619d-020b-4094-b647-112caa8ab693: Sackin index -0.1349; 0.8 s; peak memory 1122 MiB.
2026-09-20T22:53:17Z INFO [97/369] 0b336393-ee2a-41b3-b363-fd1d6efe0c5d: Sackin index -0.0709; 1.0 s; peak memory 1122 MiB.
2026-09-20T22:53:18Z INFO [98/369] 0b338f75-e1f8-444f-bd23-b8d8518cf2ec: Sackin index -0.0728; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:53:35Z INFO [99/369] 0b34330d-2c83-4f10-b294-9aabe6004bb9: Sackin index -0.1374; 16.3 s; peak memory 1122 MiB.
2026-09-20T22:53:36Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: Sackin index -0.1269; 1.2 s; peak memory 1122 MiB.
2026-09-20T22:53:36Z INFO [100/369] 0b34a5e8-4786-4e5c-8fb9-fc0fa220ced2: checkpointed 52230 records.
2026-09-20T22:53:37Z INFO [101/369] 0b34c2a6-c2f5-436e-bedd-08ff1cfff808: Sackin index -0.1349; 0.8 s; peak memory 1122 MiB.
2026-09-20T22:53:38Z INFO [102/369] 0b3547b2-1a38-4488-a736-59bd0cbe2897: Sackin index -0.0728; 1.0 s; peak memory 1122 MiB.
2026-09-20T22:53:39Z INFO [103/369] 0b359c34-a945-483e-a518-44f3e5255e7f: Sackin index -0.0702; 0.9 s; peak memory 1122 MiB.
2026-09-20T22:53:39Z INFO [104/369] 0b3608b7-b509-4f69-84e8-8e60f5184c42: Sackin index -0.1349; 0.8 s; peak memory 1122 MiB.
2026-09-20T22:53:40Z INFO [105/369] 0b36f13d-9ddc-42e3-ab7f-d5b148dfa5cd: Sackin index -0.0722; 1.1 s; peak memory 1122 MiB.
2026-09-20T22:53:49Z INFO [106/369] 0b380c64-939d-4092-8f4e-a2310ae85ab5: Sackin index -0.0614; 8.9 s; peak memory 1122 MiB.
