2026-09-18T18:54:05Z INFO Logging to /tmp/logs/update_2026-09-18T18-54-05Z.log.
2026-09-18T18:54:05Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-18T18:54:06Z INFO Processing 114 items (49787 already recorded).
2026-09-18T19:12:10Z INFO [80/114] 063c4615-8a8d-4fc8-a63e-240e2783e295: Sackin index -0.1938; 2.0 s; peak memory 1111 MiB.
2026-09-18T19:12:11Z INFO [81/114] 063c539f-e7ac-4a23-8509-831139a2e7aa: Sackin index -0.1658; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:12Z INFO [82/114] 063cc827-28ea-4b8f-b60a-0925d7a3c9c0: Sackin index -0.0702; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:13Z INFO [83/114] 063cf5f9-3060-4f93-956a-3758b97797f7: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:14Z INFO [84/114] 063daf21-7649-4d6f-b61c-d421bbce6b90: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:14Z INFO [85/114] 063ddba6-d815-4ebf-a07a-c334e322c0df: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:15Z INFO [86/114] 063e1010-251a-476e-a3b9-b14dcb4ccd92: Sackin index -0.0709; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:16Z INFO [87/114] 063e7b14-8011-4c1a-bdbe-163e714b6c78: Sackin index -0.1349; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:17Z INFO [88/114] 063e8b6d-9ed4-47c3-94fe-7ef7fcf89f94: Sackin index -0.0369; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:18Z INFO [89/114] 063eafa6-d6e0-4a75-b654-2ef6924c4ab2: Sackin index -0.1349; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:12:20Z INFO [90/114] 063ef5b0-df31-494a-88d2-e4665f208cd2: Sackin index -0.0695; 2.3 s; peak memory 1111 MiB.
2026-09-18T19:12:21Z INFO [91/114] 063f3c9e-b441-4710-abb7-4f78f160720a: Sackin index -0.1704; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:22Z INFO [92/114] 063fac7e-cfb6-43de-9a93-477f040a81f0: Sackin index -0.1602; 0.8 s; peak memory 1111 MiB.
2026-09-18T19:12:23Z INFO [93/114] 06411428-d49b-494e-a33f-5b8ead0f02da: Sackin index -0.0709; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:24Z INFO [94/114] 06413f8e-7534-471c-9008-054680bd8a03: Sackin index -0.0371; 1.1 s; peak memory 1111 MiB.
2026-09-18T19:12:25Z INFO [95/114] 0642dc4e-05bf-4e95-b6ca-010a00c50995: Sackin index -0.0702; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:12:26Z INFO [96/114] 0642eb8f-e6c5-4939-8627-7c1084227514: Sackin index -0.1365; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:12:32Z INFO [97/114] 0642f605-fec4-4c29-affe-a5f1f451b213: Sackin index -0.0150; 6.6 s; peak memory 1111 MiB.
2026-09-18T19:12:33Z INFO [98/114] 06430d9f-df19-4688-8739-081a2acd8a9a: Sackin index -0.1349; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:35Z INFO [99/114] 064321e5-c412-4725-9e4e-713c4d5b1acd: Sackin index -0.0369; 1.4 s; peak memory 1111 MiB.
2026-09-18T19:12:36Z INFO [100/114] 0643c4de-a3fd-469a-ae47-1d2d9cd4edef: Sackin index -0.0696; 1.0 s; peak memory 1111 MiB.
2026-09-18T19:12:36Z INFO [100/114] 0643c4de-a3fd-469a-ae47-1d2d9cd4edef: checkpointed 49887 records.
2026-09-18T19:12:37Z INFO [101/114] 0645ce8b-6b59-469a-82d4-d69346661ccf: Sackin index -0.0702; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:12:38Z INFO [102/114] 06465edb-98c8-4045-9ec1-def68b90023e: Sackin index -0.0676; 1.7 s; peak memory 1111 MiB.
2026-09-18T19:12:40Z INFO [103/114] 064860df-570c-4227-9b54-f865d0c5a4b0: Sackin index -0.0369; 1.6 s; peak memory 1111 MiB.
2026-09-18T19:12:46Z INFO [104/114] 06492739-d971-48d7-a928-bb514297b654: Sackin index -0.0104; 5.8 s; peak memory 1111 MiB.
2026-09-18T19:12:48Z INFO [105/114] 064958e4-3118-40fe-b883-4687b2025dbc: Sackin index -0.0369; 1.7 s; peak memory 1111 MiB.
2026-09-18T19:12:49Z INFO [106/114] 06499c2f-bc79-4aff-b925-d4161f90e396: Sackin index -0.0941; 1.3 s; peak memory 1111 MiB.
2026-09-18T19:12:52Z INFO [107/114] 064b68fd-4161-4a1e-9b43-6623b3ed1fe7: Sackin index -0.0229; 3.6 s; peak memory 1111 MiB.
2026-09-18T19:13:03Z INFO [108/114] 064b93f8-7f9c-45e1-a314-636d43448b09: Sackin index -0.0143; 11.0 s; peak memory 1111 MiB.
2026-09-18T19:13:04Z INFO [109/114] 064bcd8d-ba08-4136-86c8-e3d2e489bb62: Sackin index -0.1349; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:13:05Z INFO [110/114] 064d012c-d950-478e-8f6f-95f65fe09ded: Sackin index -0.1331; 0.7 s; peak memory 1111 MiB.
2026-09-18T19:13:08Z INFO [111/114] 064d5a9f-3b6b-4f84-8736-c99b7e9e32bb: Sackin index -0.0416; 3.5 s; peak memory 1111 MiB.
2026-09-18T19:13:09Z INFO [112/114] 064d871c-e5ba-415b-b0e6-2fccd4f32196: Sackin index -0.0702; 0.9 s; peak memory 1111 MiB.
2026-09-18T19:13:20Z INFO [113/114] 064d8e0b-280e-49b2-bfc9-ab14e6d837c4: Sackin index -0.0182; 10.6 s; peak memory 1111 MiB.
2026-09-18T19:13:26Z INFO [114/114] 51ba1795-69cf-43af-b6fe-e443659e526f: Sackin index -0.1147; 5.7 s; peak memory 1111 MiB.
2026-09-18T19:13:26Z INFO Wrote 49901 records to /tmp/derivatives/valid_nwb_file_to_sackin_index.jsonl (114 new, 0 failed) in 19.3 min (peak memory 1111 MiB).
