2026-09-20T18:30:37Z INFO Logging to /tmp/logs/update_2026-09-20T18-30-37Z.log.
2026-09-20T18:30:37Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-20T18:30:37Z INFO Processing 363 items (51767 already recorded).
2026-09-20T18:41:43Z INFO [128/363] 0a7490ea-a982-4364-92db-7976e55f9061: Sackin index -0.0377; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:44Z INFO [129/363] 0a74d166-83a6-4307-9005-392d60435e1b: Sackin index -0.0231; 1.3 s; peak memory 1126 MiB.
2026-09-20T18:41:45Z INFO [130/363] 0a74e9d2-bbae-4414-ab9b-2a4ff95db722: Sackin index -0.1210; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:45Z INFO [131/363] 0a74f70d-69ef-4f88-8f50-3a50b8464cdf: Sackin index -0.0709; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:41:48Z INFO [132/363] 0a7688fd-57f7-48c2-a06b-798e6aa3d8ca: Sackin index -0.0403; 2.8 s; peak memory 1126 MiB.
2026-09-20T18:41:49Z INFO [133/363] 0a7756d8-a4b2-4027-8125-c7ea6a661689: Sackin index -0.1263; 0.9 s; peak memory 1126 MiB.
2026-09-20T18:41:51Z INFO [134/363] 0a77ad71-a42a-4870-ad7d-259dc0aa2cdf: Sackin index -0.0660; 1.8 s; peak memory 1126 MiB.
2026-09-20T18:41:51Z INFO [135/363] 0a78d4c6-2e47-4c32-a839-8307b9facaca: Sackin index -0.1349; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:41:52Z INFO [136/363] 0a792a0e-0484-4d83-963d-d0016d3e0ad5: Sackin index -0.1349; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:41:53Z INFO [137/363] 0a797f79-5b2d-49e8-aff9-bf53e378a0de: Sackin index -0.0702; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:41:55Z INFO [138/363] 0a7b563c-3781-49c6-93e9-ba671709f500: Sackin index -0.0403; 2.3 s; peak memory 1126 MiB.
2026-09-20T18:41:59Z INFO [139/363] 0a7b7dd6-2675-41e5-8251-a1244b364328: Sackin index -0.0476; 3.6 s; peak memory 1126 MiB.
2026-09-20T18:41:59Z INFO [140/363] 0a7bb020-d04c-4956-9407-7e71a1433918: Sackin index -0.1349; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:42:00Z INFO [141/363] 0a7cb91e-5e6b-4856-bf64-ac1b07888439: Sackin index -0.1349; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:42:02Z INFO [142/363] 0a7d0d2c-3641-4a88-9230-79e957d312f0: Sackin index -0.0797; 1.7 s; peak memory 1126 MiB.
2026-09-20T18:42:02Z INFO [143/363] 0a7dc89c-1423-4b94-8c13-d3b264ad0efa: Sackin index -0.1298; 0.5 s; peak memory 1126 MiB.
2026-09-20T18:42:03Z INFO [144/363] 0a7dd5bc-1456-43ea-bc3d-9d996a1da34f: Sackin index -0.0728; 0.7 s; peak memory 1126 MiB.
2026-09-20T18:42:05Z INFO [145/363] 0a7ddf3f-95f3-43d4-ab54-d2c9414b2e21: Sackin index -0.0819; 2.0 s; peak memory 1126 MiB.
2026-09-20T18:42:27Z INFO [146/363] 0a7f0a16-6600-4837-95f6-b976849e60e4: Sackin index -0.0025; 21.9 s; peak memory 1126 MiB.
2026-09-20T18:42:32Z INFO [147/363] 0a7f10dc-be3f-40f4-9f0b-307043658548: Sackin index -0.0195; 5.0 s; peak memory 1126 MiB.
2026-09-20T18:42:32Z INFO [148/363] 0a7fa69f-cbb0-4984-8de9-d243c1afa2f9: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:42:39Z INFO [149/363] 0a80bda8-220b-422e-80c1-4cfdaf8e99df: Sackin index -0.0219; 6.4 s; peak memory 1126 MiB.
2026-09-20T18:42:39Z INFO [150/363] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: Sackin index -0.1303; 0.4 s; peak memory 1126 MiB.
2026-09-20T18:42:39Z INFO [150/363] 0a817c77-1136-46bb-a8a7-77aa6ee6df27: checkpointed 51917 records.
2026-09-20T18:42:40Z INFO [151/363] 0a81ecdb-c7a4-4db1-8d29-6a34e3ba4c6b: Sackin index -0.1273; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:42:41Z INFO [152/363] 0a82102a-794e-4950-987f-cbce9f9be474: Sackin index -0.1349; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:42:43Z INFO [153/363] 0a8341eb-038b-4ffa-9c64-3d4cf0047732: Sackin index -0.1266; 2.2 s; peak memory 1126 MiB.
2026-09-20T18:42:43Z INFO [154/363] 0a8350da-eb46-4fc8-8390-3c52eed3ca98: Sackin index -0.1248; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:42:44Z INFO [155/363] 0a8386d6-1ff1-47bc-b6cd-cfac8fc776f4: Sackin index -0.0702; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:42:49Z INFO [156/363] 0a84461c-181f-4f46-b1a4-a4642fef65ff: Sackin index -0.0184; 4.6 s; peak memory 1126 MiB.
2026-09-20T18:42:49Z INFO [157/363] 0a84bf03-c7c5-42f6-b5ef-8de387365d2c: Sackin index -0.0696; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:42:50Z INFO [158/363] 0a84e4ef-6db1-430d-8487-1db639d7766b: Sackin index -0.0376; 0.8 s; peak memory 1126 MiB.
2026-09-20T18:42:58Z INFO [159/363] 0a85baad-b893-44de-9b73-e1c7f97968aa: Sackin index -0.0100; 8.2 s; peak memory 1126 MiB.
2026-09-20T18:42:59Z INFO [160/363] 0a86ba9e-9586-49a8-8b9a-16c96a1e76f2: Sackin index -0.0722; 0.6 s; peak memory 1126 MiB.
2026-09-20T18:42:59Z INFO [161/363] 0a877886-28af-402a-9e02-d13dd3b04484: Sackin index -0.1658; 0.4 s; peak memory 1126 MiB.
2026-09-20T18:43:04Z INFO [162/363] 0a87c2d2-d2d6-4f59-aec8-446a3097507e: Sackin index -0.0157; 4.9 s; peak memory 1126 MiB.
2026-09-20T18:43:06Z INFO [163/363] 0a885379-ef0c-418e-940c-d424b99fc169: Sackin index -0.0660; 1.7 s; peak memory 1126 MiB.
2026-09-20T18:43:06Z INFO [164/363] 0a88c6d1-bd94-4b2d-a3ce-7367ee2e0b4f: Sackin index -0.1161; 0.4 s; peak memory 1126 MiB.
