2026-09-24T16:34:06Z INFO Logging to /tmp/logs/update_2026-09-24T16-34-06Z.log.
2026-09-24T16:34:06Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T16:34:06Z INFO Processing 371 items (55798 already recorded).
2026-09-24T16:43:06Z INFO [119/371] 12bdc79f-153c-48ea-b652-12c6bade2cd0: Sackin index -0.0369; 1.4 s; peak memory 304 MiB.
2026-09-24T16:43:08Z INFO [120/371] 12bdee17-a9ac-4d4a-afca-14ee65427348: Sackin index -0.1160; 1.9 s; peak memory 304 MiB.
2026-09-24T16:43:09Z INFO [121/371] 12bdf99a-29e1-4f9a-8b7e-c76adfef42a5: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:43:09Z INFO [122/371] 12be4017-fe3a-4ff7-9a36-03fb09c76774: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:43:11Z INFO [123/371] 12be616e-1b83-4388-8283-736bbaff00b1: Sackin index -0.1602; 1.1 s; peak memory 304 MiB.
2026-09-24T16:43:19Z INFO [124/371] 12bf7739-7e21-40ba-8df1-03cf2a90ffc0: Sackin index -0.0140; 8.5 s; peak memory 304 MiB.
2026-09-24T16:43:20Z INFO [125/371] 12c1875d-23c5-4f55-90d4-bd3dbb3357e3: Sackin index -0.1349; 1.2 s; peak memory 304 MiB.
2026-09-24T16:43:43Z INFO [126/371] 12c1a2e7-ae3a-45f1-988b-e20dcf712ba9: Sackin index -0.0862; 22.8 s; peak memory 304 MiB.
2026-09-24T16:43:44Z INFO [127/371] 12c1ef84-b79c-4f26-bd43-a4120dcd50c9: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:43:46Z INFO [128/371] 12c48191-926e-4e83-a70c-ba319c3e0ed1: Sackin index -0.0676; 2.0 s; peak memory 304 MiB.
2026-09-24T16:43:47Z INFO [129/371] 12c4932f-32d9-4f87-b9b3-ee8f59828554: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:43:48Z INFO [130/371] 12c516b2-8fe3-4f31-8973-dd0032645137: Sackin index -0.1704; 1.3 s; peak memory 304 MiB.
2026-09-24T16:43:50Z INFO [131/371] 12c551f8-d824-433c-97c8-5fb86cef2584: Sackin index -0.0728; 1.4 s; peak memory 304 MiB.
2026-09-24T16:43:51Z INFO [132/371] 12c57e7b-9832-4f5a-b45a-f399ec28b1e4: Sackin index -0.0702; 1.2 s; peak memory 304 MiB.
2026-09-24T16:43:52Z INFO [133/371] 12c5e3da-c0a9-4288-b1ea-0d36af4f0171: Sackin index -0.1208; 0.8 s; peak memory 304 MiB.
2026-09-24T16:43:53Z INFO [134/371] 12c6d455-18d3-41d9-b16b-c4bebaba874d: Sackin index -0.1009; 1.1 s; peak memory 304 MiB.
2026-09-24T16:43:54Z INFO [135/371] 12c6d862-080c-420a-af1f-66aad06293fc: Sackin index -0.0702; 1.1 s; peak memory 304 MiB.
2026-09-24T16:43:55Z INFO [136/371] 12c70ee6-f562-4093-9ba8-63cfd1859179: Sackin index -0.1349; 1.1 s; peak memory 304 MiB.
2026-09-24T16:43:56Z INFO [137/371] 12c806dd-bbe0-4733-acd9-0cdd3719df2f: Sackin index -0.0702; 1.2 s; peak memory 304 MiB.
2026-09-24T16:43:57Z INFO [138/371] 12c87de7-bc37-4e50-bd5d-1013835678fa: Sackin index -0.1658; 0.8 s; peak memory 304 MiB.
2026-09-24T16:43:58Z INFO [139/371] 12c92aa1-f07a-49c0-8b2f-151a5bbc2bc2: Sackin index -0.0702; 1.3 s; peak memory 304 MiB.
2026-09-24T16:43:59Z INFO [140/371] 12c99230-73c2-40a8-ba72-c517e77b8eb0: Sackin index -0.1273; 1.4 s; peak memory 304 MiB.
2026-09-24T16:44:00Z INFO [141/371] 12c9b46b-09bb-42e9-b101-d3e4050100de: Sackin index -0.0702; 1.1 s; peak memory 304 MiB.
2026-09-24T16:44:01Z INFO [142/371] 12c9d898-79ba-40e9-8287-f1eae4e5aec7: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:44:16Z INFO [143/371] 12ca12c6-1b15-442c-98c2-24cbfff86327: Sackin index -0.0149; 14.4 s; peak memory 304 MiB.
2026-09-24T16:44:32Z INFO [144/371] 12ca7689-5383-44a5-a876-23d6b06993fa: Sackin index -0.1367; 16.5 s; peak memory 304 MiB.
2026-09-24T16:44:33Z INFO [145/371] 12ca9145-1f4e-4031-872a-13a911468979: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:44:34Z INFO [146/371] 12cb1c42-8ea5-4baf-94fd-9f595aa13ef3: Sackin index -0.1461; 0.9 s; peak memory 304 MiB.
2026-09-24T16:44:36Z INFO [147/371] 12cbb7d0-819c-45f1-b474-bf1b64fcdb2c: Sackin index -0.1067; 1.4 s; peak memory 304 MiB.
2026-09-24T16:44:38Z INFO [148/371] 12cbc261-75ed-48e3-b35f-d96477a7561b: Sackin index -0.0643; 2.5 s; peak memory 304 MiB.
2026-09-24T16:44:39Z INFO [149/371] 12cbc77f-40c0-481d-ab97-0e94b00341bf: Sackin index -0.0702; 1.4 s; peak memory 304 MiB.
2026-09-24T16:44:40Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:44:41Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: checkpointed 55948 records.
2026-09-24T16:44:42Z INFO [151/371] 12cca1fc-d55c-4de3-9713-782342706c2f: Sackin index -0.0387; 1.6 s; peak memory 304 MiB.
2026-09-24T16:44:44Z INFO [152/371] 12cdd38a-d738-4201-920f-5f939087b2c4: Sackin index -0.0676; 1.9 s; peak memory 304 MiB.
2026-09-24T16:45:03Z INFO [153/371] 12ce0264-2ee1-4104-a9dd-ac0f148ba059: Sackin index -0.1562; 19.4 s; peak memory 304 MiB.
2026-09-24T16:45:05Z INFO [154/371] 12ceb313-e880-4cad-bc23-548eb32e9d0c: Sackin index -0.0387; 1.3 s; peak memory 304 MiB.
2026-09-24T16:45:06Z INFO [155/371] 12cf3e0b-8c11-4b63-8140-69b2ac5e6066: Sackin index -0.0696; 1.1 s; peak memory 304 MiB.
2026-09-24T16:45:11Z INFO [156/371] 12d08f77-07ed-4b9e-936c-b5c31a4ff21f: Sackin index -0.0611; 5.2 s; peak memory 304 MiB.
2026-09-24T16:45:12Z INFO [157/371] 12d0cb6f-1cc2-4358-be69-439b9817c0a1: Sackin index -0.0728; 1.3 s; peak memory 304 MiB.
2026-09-24T16:45:15Z INFO [158/371] 12d0e467-8eae-483f-b4aa-13e59646c177: Sackin index -0.0622; 3.1 s; peak memory 304 MiB.
2026-09-24T16:45:17Z INFO [159/371] 12d2cac3-ae00-432e-959c-e7fc04e718c7: Sackin index -0.1349; 1.1 s; peak memory 304 MiB.
2026-09-24T16:45:21Z INFO [160/371] 12d30258-a0d3-40b6-8259-3c1459b4f467: Sackin index -0.0212; 4.5 s; peak memory 304 MiB.
2026-09-24T16:45:27Z INFO [161/371] 12d3ca17-e4d7-446f-8f98-d65bbdcb4e8f: Sackin index -0.0438; 5.7 s; peak memory 304 MiB.
2026-09-24T16:45:28Z INFO [162/371] 12d3e591-ed27-4b78-8dc9-3b5bcfa74372: Sackin index -0.0728; 1.3 s; peak memory 304 MiB.
2026-09-24T16:45:29Z INFO [163/371] 12d4beb6-4236-4174-95b8-853c5e0d3d2f: Sackin index -0.0709; 1.2 s; peak memory 304 MiB.
2026-09-24T16:45:30Z INFO [164/371] 12d4cba8-1f84-4a51-82af-175542cf541e: Sackin index -0.1349; 0.9 s; peak memory 304 MiB.
2026-09-24T16:45:31Z INFO [165/371] 12d5aff7-6fcd-404d-bb63-e8d9b54ec532: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
2026-09-24T16:45:32Z INFO [166/371] 12d5d0a7-b3e9-4294-9bd4-02c968f54230: Sackin index -0.1349; 1.0 s; peak memory 304 MiB.
