2026-09-17T16:18:29Z INFO Logging to /tmp/logs/update_2026-09-17T16-18-29Z.log.
2026-09-17T16:18:29Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T16:18:29Z INFO Processing 385 items (48030 already recorded).
2026-09-17T16:24:39Z INFO [82/385] 02796435-95b1-463b-b902-dc06bc9be988: Sackin index -0.0704; 3.5 s; peak memory 283 MiB.
2026-09-17T16:24:41Z INFO [83/385] 02797d31-e8ef-481d-9149-2b81d191d1c0: Sackin index -0.0696; 1.8 s; peak memory 283 MiB.
2026-09-17T16:24:42Z INFO [84/385] 027982cc-b57a-436c-a634-131180f11c2e: Sackin index -0.1349; 1.5 s; peak memory 283 MiB.
2026-09-17T16:24:44Z INFO [85/385] 0279a7b7-9dc4-4d21-bf27-f03462f56851: Sackin index -0.1291; 2.1 s; peak memory 283 MiB.
2026-09-17T16:24:52Z INFO [86/385] 0279dca2-9cb3-44ba-8483-5c377e21acac: Sackin index -0.0415; 7.4 s; peak memory 283 MiB.
2026-09-17T16:24:53Z INFO [87/385] 027a144b-972f-4180-896b-734131520208: Sackin index -0.0696; 1.7 s; peak memory 283 MiB.
2026-09-17T16:24:56Z INFO [88/385] 027a7730-53ff-4421-8ef0-a2d633d65e25: Sackin index -0.1013; 2.2 s; peak memory 283 MiB.
2026-09-17T16:24:58Z INFO [89/385] 027adeb8-c4b7-427b-a077-7324df21255d: Sackin index -0.0728; 2.4 s; peak memory 283 MiB.
2026-09-17T16:25:05Z INFO [90/385] 027b10c9-78fd-4aa7-ab67-81482fe1c215: Sackin index -0.0383; 7.6 s; peak memory 283 MiB.
2026-09-17T16:25:08Z INFO [91/385] 027d699e-242e-4213-b29f-f1ef09dd2f58: Sackin index -0.0369; 2.6 s; peak memory 283 MiB.
2026-09-17T16:25:15Z INFO [92/385] 027dce51-df65-498c-9e04-3f842e8c4418: Sackin index -0.0476; 6.7 s; peak memory 283 MiB.
2026-09-17T16:25:17Z INFO [93/385] 027f323e-e5aa-4fc9-8325-1a0801c471a7: Sackin index -0.0702; 1.9 s; peak memory 283 MiB.
2026-09-17T16:25:18Z INFO [94/385] 02806552-1931-4326-9b41-78b57b043661: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:25:20Z INFO [95/385] 028065d0-64d8-4609-99ec-92b978434b87: Sackin index -0.0702; 1.7 s; peak memory 283 MiB.
2026-09-17T16:25:21Z INFO [96/385] 02815e50-4d08-47c5-b2dc-c962bef41956: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:25:22Z INFO [97/385] 0281843e-d70d-48fa-9fd4-31d528791927: Sackin index -0.1658; 1.1 s; peak memory 283 MiB.
2026-09-17T16:25:24Z INFO [98/385] 02822f47-95be-4b3a-aac2-e1f86eccb6d0: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:25:25Z INFO [99/385] 02824bdd-446c-4ed9-bd3c-a3a17c926ca0: Sackin index -0.1239; 1.2 s; peak memory 283 MiB.
2026-09-17T16:25:27Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: Sackin index -0.0702; 1.7 s; peak memory 283 MiB.
2026-09-17T16:25:27Z INFO [100/385] 02829433-4773-404a-9d2e-32d2e45cd77a: checkpointed 48130 records.
2026-09-17T16:25:28Z INFO [101/385] 0282fe98-1eac-49c8-9808-33f9c1aaa00a: Sackin index -0.1349; 1.4 s; peak memory 283 MiB.
2026-09-17T16:25:31Z INFO [102/385] 02831699-8efa-41a9-aca7-4a7bfcf664cf: Sackin index -0.0169; 3.1 s; peak memory 283 MiB.
2026-09-17T17:01:08Z INFO [103/385] 0284795a-a1ff-4230-b9ef-4158c57218a8: Sackin index -0.0012; 2136.9 s; peak memory 1308 MiB.
2026-09-17T17:01:10Z INFO [104/385] 0284c48e-b45e-403f-ab03-707ed04d6195: Sackin index -0.0626; 1.9 s; peak memory 1308 MiB.
2026-09-17T17:01:11Z INFO [105/385] 0285844c-4b1b-450f-af5a-d6417ba1cc79: Sackin index -0.2168; 1.1 s; peak memory 1308 MiB.
2026-09-17T17:01:13Z INFO [106/385] 02874466-b78c-41ae-8487-06726996a7d4: Sackin index -0.1349; 1.4 s; peak memory 1308 MiB.
2026-09-17T17:01:15Z INFO [107/385] 02878f31-f679-4940-b6e1-5645c2bc461b: Sackin index -0.0728; 2.1 s; peak memory 1308 MiB.
