2026-09-21T19:05:19Z INFO Logging to /tmp/logs/update_2026-09-21T19-05-19Z.log.
2026-09-21T19:05:19Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-21T19:05:19Z INFO Processing 356 items (52866 already recorded).
2026-09-21T19:12:07Z INFO [124/356] 0cc2fd16-bfe7-4050-8a6c-77ca8a1590e3: Sackin index -0.0379; 1.3 s; peak memory 212 MiB.
2026-09-21T19:12:08Z INFO [125/356] 0cc395a0-3461-41ee-877e-8450c51b2ba1: Sackin index -0.1000; 1.1 s; peak memory 212 MiB.
2026-09-21T19:12:09Z INFO [126/356] 0cc3b4c0-2cd8-4a0b-a4fe-61f11e97a7ba: Sackin index -0.1383; 1.3 s; peak memory 212 MiB.
2026-09-21T19:12:10Z INFO [127/356] 0cc3be3a-bdbb-44e4-b407-50732a634a4f: Sackin index -0.0696; 1.3 s; peak memory 212 MiB.
2026-09-21T19:12:12Z INFO [128/356] 0cc46824-e998-453f-8cba-02864eab0cf0: Sackin index -0.0756; 1.7 s; peak memory 212 MiB.
2026-09-21T19:19:48Z INFO [129/356] 0cc5c820-2972-4c4e-89d7-8cd7ce5ad162: Sackin index -0.0691; 455.7 s; peak memory 1122 MiB.
2026-09-21T19:19:57Z INFO [130/356] 0cc63ef1-296d-41d0-8edf-a2e051d4c83c: Sackin index -0.0159; 9.3 s; peak memory 1122 MiB.
2026-09-21T19:20:09Z INFO [131/356] 0cc6bc1e-15bb-4aad-9b15-54aa58e4ad06: Sackin index -0.1892; 11.9 s; peak memory 1122 MiB.
2026-09-21T19:20:10Z INFO [132/356] 0cc6c406-fd42-4177-ab33-42b5d39a5c7a: Sackin index -0.2147; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:20:11Z INFO [133/356] 0cc8a28c-60cb-41dc-8403-0849bb3b6db7: Sackin index -0.0745; 1.6 s; peak memory 1122 MiB.
2026-09-21T19:20:13Z INFO [134/356] 0cc9db5e-e6fb-4cb9-8b8d-d8c28720f148: Sackin index -0.1349; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:14Z INFO [135/356] 0cca56eb-69cc-40e5-ae3c-11b6007516f7: Sackin index -0.1349; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:35Z INFO [136/356] 0ccae657-a46d-4148-9d86-de67833e1ef3: Sackin index -0.1367; 21.0 s; peak memory 1122 MiB.
2026-09-21T19:20:36Z INFO [137/356] 0ccb5a58-6abd-4681-b37b-f338b5a99279: Sackin index -0.1938; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:37Z INFO [138/356] 0ccd16e3-ef1a-4015-804a-0db8ff95f1ef: Sackin index -0.0709; 1.0 s; peak memory 1122 MiB.
2026-09-21T19:20:38Z INFO [139/356] 0ccd3b5c-5f4a-4a10-970c-d4bd90c6e846: Sackin index -0.0709; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:39Z INFO [140/356] 0ccd9b2e-9aa3-46d5-8f99-aa5ce0bda872: Sackin index -0.0702; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:40Z INFO [141/356] 0ccdfb58-7a56-4c9b-a45b-e222b9f0777f: Sackin index -0.0745; 1.5 s; peak memory 1122 MiB.
2026-09-21T19:20:42Z INFO [142/356] 0ccdfc04-0040-412f-bd16-f7bb478b4f56: Sackin index -0.0728; 1.4 s; peak memory 1122 MiB.
2026-09-21T19:20:43Z INFO [143/356] 0cce0da8-a454-4ff7-8670-01104465a18f: Sackin index -0.2229; 1.1 s; peak memory 1122 MiB.
2026-09-21T19:20:44Z INFO [144/356] 0cce202c-411a-413d-bd5c-e4b4d4b4839d: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:20:45Z INFO [145/356] 0cce4594-6f28-4b71-853b-761bf761b198: Sackin index -0.1658; 0.8 s; peak memory 1122 MiB.
2026-09-21T19:20:49Z INFO [146/356] 0ccfeb40-4d35-4283-9f37-d80020df3176: Sackin index -0.0403; 4.4 s; peak memory 1122 MiB.
2026-09-21T19:20:50Z INFO [147/356] 0cd0935b-eb4a-4056-b772-8e7be884e767: Sackin index -0.1349; 1.0 s; peak memory 1122 MiB.
2026-09-21T19:20:52Z INFO [148/356] 0cd0c344-306e-4238-8896-fcad7a40bd63: Sackin index -0.0379; 1.5 s; peak memory 1122 MiB.
2026-09-21T19:20:52Z INFO [149/356] 0cd137a3-ca08-4267-81aa-96b3236acf3d: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:20:53Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: Sackin index -0.1349; 1.0 s; peak memory 1122 MiB.
2026-09-21T19:20:54Z INFO [150/356] 0cd14c4d-260f-4399-b6b5-d8101522d075: checkpointed 53016 records.
2026-09-21T19:20:59Z INFO [151/356] 0cd16cc3-ac83-461b-a110-2655c05fcbae: Sackin index -0.0420; 5.8 s; peak memory 1122 MiB.
2026-09-21T19:21:01Z INFO [152/356] 0cd1f00c-1924-4118-91cc-d956d9da5f16: Sackin index -0.0709; 1.2 s; peak memory 1122 MiB.
2026-09-21T19:21:02Z INFO [153/356] 0cd21d3e-1591-49e2-807c-a79b370307a9: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:21:03Z INFO [154/356] 0cd3c0b7-befa-4a16-b24e-86adf64299f2: Sackin index -0.0745; 1.5 s; peak memory 1122 MiB.
2026-09-21T19:21:04Z INFO [155/356] 0cd5c7aa-37e4-4d41-a510-5b1c7cc8fabc: Sackin index -0.0702; 1.4 s; peak memory 1122 MiB.
2026-09-21T19:21:06Z INFO [156/356] 0cd5e642-4064-4829-a62c-afeb4a4be98e: Sackin index -0.0728; 1.5 s; peak memory 1122 MiB.
2026-09-21T19:21:07Z INFO [157/356] 0cd7d428-1b53-483f-b066-3439c2585bd9: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:21:08Z INFO [158/356] 0cd8d370-a436-47b5-9e50-4b518c1a234d: Sackin index -0.0702; 1.4 s; peak memory 1122 MiB.
2026-09-21T19:21:20Z INFO [159/356] 0cd9dcc9-0508-4bfe-a217-7e0946f17926: Sackin index -0.0368; 11.3 s; peak memory 1122 MiB.
2026-09-21T19:21:21Z INFO [160/356] 0cda32c1-f8bd-43a5-8343-91acaf903acc: Sackin index -0.0728; 1.6 s; peak memory 1122 MiB.
2026-09-21T19:21:28Z INFO [161/356] 0cdb59f5-5c0f-4cb8-a2b9-85029f87379a: Sackin index -0.0251; 6.7 s; peak memory 1122 MiB.
2026-09-21T19:21:29Z INFO [162/356] 0cdb73c9-3b3b-4654-b34c-1217879b0484: Sackin index -0.1349; 1.0 s; peak memory 1122 MiB.
2026-09-21T19:21:30Z INFO [163/356] 0cdbcd84-424e-4a1b-88a3-8ab4daffdf46: Sackin index -0.1349; 0.9 s; peak memory 1122 MiB.
2026-09-21T19:21:31Z INFO [164/356] 0cdc095b-03bc-4cf4-9a4c-a1cec815b236: Sackin index -0.1349; 1.1 s; peak memory 1122 MiB.
