2026-09-17T20:58:55Z INFO Logging to /tmp/logs/update_2026-09-17T20-58-55Z.log.
2026-09-17T20:58:55Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-17T20:58:55Z INFO Processing 372 items (48415 already recorded).
2026-09-17T21:07:56Z INFO [83/372] 0345d8a3-a5cc-4dbd-a587-119fa099bb0b: Sackin index -0.1938; 1.3 s; peak memory 289 MiB.
2026-09-17T21:07:58Z INFO [84/372] 0345fb05-12ed-4af4-b459-128708850477: Sackin index -0.1602; 1.5 s; peak memory 289 MiB.
2026-09-17T21:08:00Z INFO [85/372] 03463604-5296-48a3-9169-c90c6e33cad7: Sackin index -0.0994; 1.9 s; peak memory 289 MiB.
2026-09-17T21:08:01Z INFO [86/372] 0346ae94-a3ce-4f8a-bc61-d57ef25bd925: Sackin index -0.0702; 1.7 s; peak memory 289 MiB.
2026-09-17T21:08:03Z INFO [87/372] 03476e20-8bd0-461e-8f65-dd198fdf4fc0: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:05Z INFO [88/372] 0348611c-b226-4e37-9a7a-df0669cb1782: Sackin index -0.0369; 2.6 s; peak memory 289 MiB.
2026-09-17T21:08:07Z INFO [89/372] 0348beb6-a9ca-4c0c-b413-ad8397de3c7d: Sackin index -0.0728; 1.8 s; peak memory 289 MiB.
2026-09-17T21:08:09Z INFO [90/372] 0348cc8f-2c8e-4bee-910d-f297f822aab0: Sackin index -0.0702; 1.5 s; peak memory 289 MiB.
2026-09-17T21:08:23Z INFO [91/372] 034990bf-01fe-42f3-b6f1-a9374dcd0066: Sackin index -0.0213; 14.8 s; peak memory 289 MiB.
2026-09-17T21:08:25Z INFO [92/372] 034a4374-232d-401c-9288-31e5ef206670: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:27Z INFO [93/372] 034ad8f1-bf60-41dd-bacd-c9ee2d7c71d0: Sackin index -0.0728; 2.0 s; peak memory 289 MiB.
2026-09-17T21:08:28Z INFO [94/372] 034b24e2-b699-442d-9625-35dbee1395ef: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:30Z INFO [95/372] 034b904a-2535-4ebb-b627-0d294caa08fe: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:31Z INFO [96/372] 034d5b77-441e-43a2-a04d-6bedd64b3fc3: Sackin index -0.0656; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:32Z INFO [97/372] 034e23ca-affb-43b4-aebe-02162fde2e1f: Sackin index -0.1248; 1.5 s; peak memory 289 MiB.
2026-09-17T21:08:34Z INFO [98/372] 034e72c9-7891-4cec-aa2d-7579701e253f: Sackin index -0.1349; 1.3 s; peak memory 289 MiB.
2026-09-17T21:08:49Z INFO [99/372] 034eb273-1e8a-4410-949e-a6871b2c0e83: Sackin index -0.0117; 15.7 s; peak memory 289 MiB.
2026-09-17T21:08:51Z INFO [100/372] 034ed842-a008-4d73-a069-caf9d4a462f9: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:08:51Z INFO [100/372] 034ed842-a008-4d73-a069-caf9d4a462f9: checkpointed 48515 records.
2026-09-17T21:08:52Z INFO [101/372] 034f70b8-dde7-400e-bf1c-b38c8ea64315: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:54Z INFO [102/372] 034f976b-103c-455a-adfd-b202c3142320: Sackin index -0.1331; 1.4 s; peak memory 289 MiB.
2026-09-17T21:08:55Z INFO [103/372] 035055d4-b113-430a-bd48-87ab6d55cef5: Sackin index -0.1938; 1.3 s; peak memory 289 MiB.
2026-09-17T21:08:57Z INFO [104/372] 0350bdf8-0463-49a4-9e14-223b6b99aa54: Sackin index -0.0376; 2.0 s; peak memory 289 MiB.
2026-09-17T21:08:59Z INFO [105/372] 0350cb7a-ae83-4a02-8bba-48f1d394070d: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:09:00Z INFO [106/372] 03513beb-e6d7-4426-ad0b-8eb6c2d9a3e9: Sackin index -0.1248; 1.6 s; peak memory 289 MiB.
2026-09-17T21:09:01Z INFO [107/372] 03522f7c-36a3-47f8-80c3-05315333f89a: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:09:03Z INFO [108/372] 03525e41-fd14-4324-bb75-1151a39a89d0: Sackin index -0.0376; 1.8 s; peak memory 289 MiB.
2026-09-17T21:09:20Z INFO [109/372] 0353b161-e5c3-4d09-a8f9-2002c88a197b: Sackin index -0.0168; 17.0 s; peak memory 289 MiB.
2026-09-17T21:09:28Z INFO [110/372] 035407c0-01e5-4282-9881-2a82cb6e0ece: Sackin index -0.0045; 7.8 s; peak memory 289 MiB.
2026-09-17T21:09:30Z INFO [111/372] 03541dbd-fdb1-4dc0-b4d5-3c93f12ca306: Sackin index -0.0709; 1.7 s; peak memory 289 MiB.
2026-09-17T21:09:31Z INFO [112/372] 03553748-7730-479c-99f0-944d400569a3: Sackin index -0.1349; 1.3 s; peak memory 289 MiB.
2026-09-17T21:09:33Z INFO [113/372] 0356024c-a95a-4d6c-9553-cef9c890bb6c: Sackin index -0.1191; 1.5 s; peak memory 289 MiB.
2026-09-17T21:09:34Z INFO [114/372] 0356e792-4015-459e-85b5-84883cd137c7: Sackin index -0.1349; 1.5 s; peak memory 289 MiB.
2026-09-17T21:09:35Z INFO [115/372] 0357d8f4-06f6-47a9-a340-cc12d5160c31: Sackin index -0.1349; 1.4 s; peak memory 289 MiB.
2026-09-17T21:09:37Z INFO [116/372] 03584060-6183-4d46-8aef-e03954523b2c: Sackin index -0.0746; 1.8 s; peak memory 289 MiB.
2026-09-17T21:09:39Z INFO [117/372] 035963d3-35e8-4a3e-ab35-e777ea8f180b: Sackin index -0.1380; 1.7 s; peak memory 289 MiB.
2026-09-17T21:21:52Z INFO [118/372] 0359ab7f-ead0-4d29-89a3-2d7b222ee960: Sackin index -0.0684; 732.7 s; peak memory 1096 MiB.
2026-09-17T21:21:54Z INFO [119/372] 035d2ab2-b408-4024-9734-08f4001b6fef: Sackin index -0.0379; 2.1 s; peak memory 1096 MiB.
2026-09-17T21:22:22Z INFO [120/372] 035d7e09-4b1e-4e55-aba2-0108c0307bda: Sackin index -0.0191; 28.9 s; peak memory 1096 MiB.
2026-09-17T21:22:24Z INFO [121/372] 035e4100-b31d-46ee-8cf3-cffd1b45bb9b: Sackin index -0.1938; 1.3 s; peak memory 1096 MiB.
2026-09-17T21:22:26Z INFO [122/372] 035e8698-2903-4745-96d1-cbf452b495a6: Sackin index -0.0728; 2.1 s; peak memory 1096 MiB.
2026-09-17T21:22:27Z INFO [123/372] 035ea321-9263-492e-bf39-ac90bbc1e076: Sackin index -0.1362; 1.7 s; peak memory 1096 MiB.
