2026-09-24T00:15:34Z INFO Logging to /tmp/logs/update_2026-09-24T00-15-34Z.log.
2026-09-24T00:15:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-24T00:15:35Z INFO Processing 379 items (55419 already recorded).
2026-09-24T00:30:29Z INFO [121/379] 120abe6d-b4d4-44a6-b8af-bfa70bb337f0: Sackin index -0.0415; 5.6 s; peak memory 266 MiB.
2026-09-24T00:30:30Z INFO [122/379] 120aeeca-3322-4569-b04d-864adbe35bc1: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:30:31Z INFO [123/379] 120b3e34-b185-4a48-ae86-cddf1fa345be: Sackin index -0.0376; 1.7 s; peak memory 266 MiB.
2026-09-24T00:30:33Z INFO [124/379] 120b836e-9afb-492b-9d44-974f89656b11: Sackin index -0.2073; 1.2 s; peak memory 266 MiB.
2026-09-24T00:30:34Z INFO [125/379] 120c1ef9-093e-4646-82fb-850abc4ae2bc: Sackin index -0.1291; 1.8 s; peak memory 266 MiB.
2026-09-24T00:30:38Z INFO [126/379] 120cfb9e-71fc-445f-b4fe-d7e32399f4db: Sackin index -0.0869; 3.4 s; peak memory 266 MiB.
2026-09-24T00:30:40Z INFO [127/379] 120d912a-4407-4399-9c9e-7554f1ce6f36: Sackin index -0.0728; 1.7 s; peak memory 266 MiB.
2026-09-24T00:30:41Z INFO [128/379] 120dd847-87da-4ca8-97c5-b91969f12fae: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:30:42Z INFO [129/379] 120df354-e893-4d32-91e6-5d6abfb784a3: Sackin index -0.1349; 1.3 s; peak memory 266 MiB.
2026-09-24T00:30:44Z INFO [130/379] 120e44a1-5706-46e9-ab6e-f1a6fe7cc24c: Sackin index -0.0275; 1.9 s; peak memory 266 MiB.
2026-09-24T00:30:46Z INFO [131/379] 120f147a-ce99-41da-9dc0-05d67c6517f0: Sackin index -0.1191; 1.5 s; peak memory 266 MiB.
2026-09-24T00:30:47Z INFO [132/379] 120f542e-9dbf-4e31-9021-e6c7460f38ff: Sackin index -0.0748; 1.6 s; peak memory 266 MiB.
2026-09-24T00:30:49Z INFO [133/379] 120f78da-7bc0-40f9-8019-c90e4995bcb3: Sackin index -0.0709; 1.6 s; peak memory 266 MiB.
2026-09-24T00:30:51Z INFO [134/379] 12101f91-5658-4f2b-90fa-82943835d730: Sackin index -0.0413; 1.9 s; peak memory 266 MiB.
2026-09-24T00:30:52Z INFO [135/379] 12103d53-aba2-49a7-ae4a-bebacb0e4749: Sackin index -0.0702; 1.5 s; peak memory 266 MiB.
2026-09-24T00:30:55Z INFO [136/379] 1210a0bb-3534-4d5f-94c7-b4905a1eedc0: Sackin index -0.0804; 2.6 s; peak memory 266 MiB.
2026-09-24T00:30:56Z INFO [137/379] 12111f9c-54e0-4794-a151-4016e61b1a38: Sackin index -0.1349; 1.4 s; peak memory 266 MiB.
2026-09-24T00:30:58Z INFO [138/379] 12118745-95b5-4634-800c-56a068ad650d: Sackin index -0.0728; 2.4 s; peak memory 266 MiB.
2026-09-24T00:31:00Z INFO [139/379] 1212a13c-cd5a-4d7a-895d-5926e5f7d5d3: Sackin index -0.1009; 1.4 s; peak memory 266 MiB.
