2026-09-26T00:23:18Z INFO Logging to /tmp/logs/update_2026-09-26T00-23-18Z.log.
2026-09-26T00:23:18Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-26T00:23:18Z INFO Processing 364 items (57658 already recorded).
2026-09-26T00:28:59Z INFO [73/364] 168521e3-6eb7-4abf-92a1-95482eaf2d91: Sackin index -0.1365; 1.2 s; peak memory 347 MiB.
2026-09-26T00:29:09Z INFO [74/364] 16859ce6-14fc-43b9-93b8-42a55ebb40ad: Sackin index -0.0366; 9.7 s; peak memory 347 MiB.
2026-09-26T00:29:10Z INFO [75/364] 1685a1cc-1ce4-4f4f-8a48-9715f14b1488: Sackin index -0.1349; 1.2 s; peak memory 347 MiB.
2026-09-26T00:29:11Z INFO [76/364] 1685b646-453e-45ca-be33-42d0efe41977: Sackin index -0.1349; 1.2 s; peak memory 347 MiB.
2026-09-26T00:29:15Z INFO [77/364] 168619ca-3d18-46e9-915f-f32e0b61ccd6: Sackin index -0.0187; 3.9 s; peak memory 347 MiB.
2026-09-26T00:29:23Z INFO [78/364] 16871063-fc3e-441d-b47f-caf10b817bb6: Sackin index -0.0251; 7.7 s; peak memory 347 MiB.
2026-09-26T00:29:29Z INFO [79/364] 16873f28-3127-4e44-9f7e-d1f36b51e810: Sackin index -0.0403; 5.5 s; peak memory 347 MiB.
2026-09-26T00:29:30Z INFO [80/364] 1688b1cc-2b2d-425d-9e67-9182d119c5f5: Sackin index -0.0275; 1.8 s; peak memory 347 MiB.
2026-09-26T00:29:32Z INFO [81/364] 1688b4e0-6226-46e1-96c8-0ae574e8b946: Sackin index -0.0702; 1.5 s; peak memory 347 MiB.
2026-09-26T00:29:34Z INFO [82/364] 1688fc12-8585-4b87-aadd-6b607764750b: Sackin index -0.0745; 2.0 s; peak memory 347 MiB.
2026-09-26T00:29:35Z INFO [83/364] 16898dcf-7d59-4973-9ab5-cf64596297cf: Sackin index -0.0388; 1.4 s; peak memory 347 MiB.
2026-09-26T00:31:33Z INFO [84/364] 1689a548-4d0c-402d-ac1c-116e0ef07a8a: Sackin index -0.0414; 117.3 s; peak memory 347 MiB.
2026-09-26T00:31:34Z INFO [85/364] 1689d891-2d2b-4ec5-b23d-6e03437048fb: Sackin index -0.0728; 1.7 s; peak memory 347 MiB.
2026-09-26T00:31:36Z INFO [86/364] 168aa2c9-b236-4faf-9805-523b3195b934: Sackin index -0.0702; 1.4 s; peak memory 347 MiB.
2026-09-26T00:31:38Z INFO [87/364] 168ae5de-2425-42c6-837b-cd07301f0a9e: Sackin index -0.0728; 1.8 s; peak memory 347 MiB.
2026-09-26T00:35:33Z INFO [88/364] 168beec7-8831-4526-8377-263b285d4fcf: Sackin index -0.0260; 235.0 s; peak memory 424 MiB.
2026-09-26T00:35:36Z INFO [89/364] 168d258f-9a4a-4a55-9960-c1d4baef310e: Sackin index -0.0699; 3.2 s; peak memory 424 MiB.
2026-09-26T00:35:37Z INFO [90/364] 168d9c77-2002-48dd-9b65-e4dfb3a06500: Sackin index -0.0696; 1.6 s; peak memory 424 MiB.
2026-09-26T00:35:39Z INFO [91/364] 168e207a-1f72-449f-930a-f74c370978f0: Sackin index -0.0728; 1.4 s; peak memory 424 MiB.
2026-09-26T00:35:40Z INFO [92/364] 168e8638-ed45-4a7e-8ed1-c06f5e47f2d5: Sackin index -0.1349; 1.2 s; peak memory 424 MiB.
2026-09-26T00:35:41Z INFO [93/364] 168e9395-f49d-4206-aea8-ab044f1bcc81: Sackin index -0.1349; 1.3 s; peak memory 424 MiB.
2026-09-26T00:35:44Z INFO [94/364] 168f2ff0-7d6f-441e-8631-eeb1ee90b43d: Sackin index -0.0362; 2.3 s; peak memory 424 MiB.
2026-09-26T00:36:22Z INFO [95/364] 16912c78-c7dd-40ce-b135-b5dbadced021: Sackin index -0.0506; 38.6 s; peak memory 424 MiB.
2026-09-26T00:36:23Z INFO [96/364] 169201ed-5d1f-4719-9ec5-56024c1bafea: Sackin index -0.1349; 1.2 s; peak memory 424 MiB.
2026-09-26T00:36:46Z INFO [97/364] 1692cda1-57c6-4fef-8b7d-8aef7f0ba431: Sackin index -0.1367; 22.1 s; peak memory 424 MiB.
2026-09-26T00:40:30Z INFO [98/364] 16932f8e-827f-4eb3-b735-17b3bad6efae: Sackin index -0.1201; 224.1 s; peak memory 454 MiB.
2026-09-26T00:40:31Z INFO [99/364] 16933fec-c09b-437e-a1cc-d8c38c8608b7: Sackin index -0.1239; 0.9 s; peak memory 454 MiB.
2026-09-26T00:40:36Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: Sackin index -0.0403; 5.0 s; peak memory 454 MiB.
2026-09-26T00:40:36Z INFO [100/364] 1693b920-f7ec-4d09-98fe-251f70590c24: checkpointed 57758 records.
2026-09-26T00:40:43Z INFO [101/364] 1693fe1d-1672-4fb7-8eaa-645c4ae37885: Sackin index -0.0196; 7.8 s; peak memory 454 MiB.
2026-09-26T00:45:50Z INFO [102/364] 1694aaf4-4ba3-473a-8672-af9bb263b9a7: Sackin index -0.0587; 306.2 s; peak memory 506 MiB.
2026-09-26T00:45:51Z INFO [103/364] 16963cae-7c64-462a-9481-a8cee0695239: Sackin index -0.1349; 1.3 s; peak memory 506 MiB.
2026-09-26T00:45:52Z INFO [104/364] 1696876e-93d6-4366-8a9d-6715ddf21d12: Sackin index -0.1349; 1.2 s; peak memory 506 MiB.
2026-09-26T00:45:53Z INFO [105/364] 1696ae56-a076-4e64-89f6-f00139966b0e: Sackin index -0.1349; 1.2 s; peak memory 506 MiB.
2026-09-26T00:45:55Z INFO [106/364] 1697cc9f-56fd-4908-bb75-026d9f63348a: Sackin index -0.0728; 1.7 s; peak memory 506 MiB.
2026-09-26T00:45:56Z INFO [107/364] 169886f2-c7b6-4c6d-a109-cc5678d869b1: Sackin index -0.1303; 0.9 s; peak memory 506 MiB.
2026-09-26T00:45:57Z INFO [108/364] 16989c88-2631-4c49-b787-eca3f30861a0: Sackin index -0.0735; 1.6 s; peak memory 506 MiB.
2026-09-26T00:45:59Z INFO [109/364] 16991f81-23b1-4675-b83e-318f397652a9: Sackin index -0.1349; 1.2 s; peak memory 506 MiB.
2026-09-26T00:46:00Z INFO [110/364] 16993431-283e-4795-8469-8908862d06d1: Sackin index -0.1178; 0.9 s; peak memory 506 MiB.
2026-09-26T00:46:00Z INFO [111/364] 16993ff8-af44-447c-933d-8c2d19f59f90: Sackin index -0.1658; 0.9 s; peak memory 506 MiB.
