2026-09-25T11:14:34Z INFO Logging to /tmp/logs/update_2026-09-25T11-14-34Z.log.
2026-09-25T11:14:34Z INFO Update valid-nwb-file-to-sackin-index (base directory /tmp).
2026-09-25T11:14:35Z INFO Processing 381 items (56910 already recorded).
2026-09-25T11:40:22Z INFO [129/381] 150fcaf5-13ba-4f4a-a025-614748a6d178: Sackin index -0.0369; 2.3 s; peak memory 1253 MiB.
2026-09-25T11:40:23Z INFO [130/381] 15100bf1-8beb-474a-a1b6-75c496ade175: Sackin index -0.1161; 1.0 s; peak memory 1253 MiB.
2026-09-25T11:40:25Z INFO [131/381] 1510419e-1b33-4b39-903b-1f91edfe2f8c: Sackin index -0.1291; 1.9 s; peak memory 1253 MiB.
2026-09-25T11:40:26Z INFO [132/381] 1510a198-c24e-4ad7-a79d-b4be3d837971: Sackin index -0.1658; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:27Z INFO [133/381] 1510e774-4164-443b-89fe-f4242a1de29b: Sackin index -0.0702; 1.5 s; peak memory 1253 MiB.
2026-09-25T11:40:29Z INFO [134/381] 15112683-4e73-4da3-9819-11c97fa79950: Sackin index -0.1349; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:30Z INFO [135/381] 1511dbd1-0178-48e6-8a5a-f2ac04d3ba55: Sackin index -0.1448; 1.0 s; peak memory 1253 MiB.
2026-09-25T11:40:31Z INFO [136/381] 1515e2f3-dc5d-4b86-9298-e41fcc466b8e: Sackin index -0.1331; 1.1 s; peak memory 1253 MiB.
2026-09-25T11:40:32Z INFO [137/381] 15165ea1-187e-44a6-bc93-40071f4ea1bd: Sackin index -0.1349; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:39Z INFO [138/381] 151667fd-a492-4ed5-ac71-b37c61ab28ca: Sackin index -0.1147; 7.2 s; peak memory 1253 MiB.
2026-09-25T11:40:41Z INFO [139/381] 15168203-c85e-4d6b-98ec-f19b99976e76: Sackin index -0.0815; 2.0 s; peak memory 1253 MiB.
2026-09-25T11:40:45Z INFO [140/381] 1516c1ad-ae95-4678-b2d6-a42c22b72c8d: Sackin index -0.0797; 3.7 s; peak memory 1253 MiB.
2026-09-25T11:40:46Z INFO [141/381] 15171f1a-8e39-49f2-a38c-93e008b44542: Sackin index -0.1349; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:47Z INFO [142/381] 15182535-175f-4995-8de8-e8dcdd1006ec: Sackin index -0.1658; 1.0 s; peak memory 1253 MiB.
2026-09-25T11:40:48Z INFO [143/381] 1518aa21-3261-4bc6-84fa-18afa1e969c4: Sackin index -0.1349; 1.2 s; peak memory 1253 MiB.
2026-09-25T11:40:51Z INFO [144/381] 151980b6-9942-41cb-9677-6733baf539b2: Sackin index -0.1938; 2.6 s; peak memory 1253 MiB.
